Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11336254,Bubbles: Spheres I,Peter Sloterdijk,"Sloterdijk, Peter",Wieland Hoban,"=""1584351047""","=""9781584351047""",5,4.29,Semiotext(e),Hardcover,664,2011,1998,2024/04/05,2024/12/06,,,read,,,,2,0
45682,Thirteen Stories and Thirteen Epitaphs,William T. Vollmann,"Vollmann, William T.",,"=""0802133959""","=""9780802133953""",5,3.86,Grove Press,Paperback,318,1994,1991,,2024/12/06,,,read,,,,1,0
45683,Butterfly Stories,William T. Vollmann,"Vollmann, William T.",,"=""0802134009""","=""9780802134004""",4,3.71,Grove Press,Paperback,281,1994,1993,,2024/12/06,,,read,,,,1,0
45639,Poor People,William T. Vollmann,"Vollmann, William T.",,"=""0060878827""","=""9780060878825""",4,3.80,Ecco,Hardcover,434,2007,2007,,2024/12/06,,,read,,,,1,0
45681,The Rainbow Stories,William T. Vollmann,"Vollmann, William T.",,"=""0140171541""","=""9780140171549""",5,3.98,Penguin Publishing Group,Paperback,542,1992,1989,,2024/12/06,,,read,,,,1,0
18190732,The Recognitions,William Gaddis,"Gaddis, William",,"=""156478696X""","=""9781564786968""",5,4.21,Dalkey Archive Press,Kindle Edition,1035,2012,1955,2024/12/06,2014/12/01,,,read,,,,1,0
28434,J R,William Gaddis,"Gaddis, William","John David Smith, Frederick R. Karl","=""0140187073""","=""9780140187076""",5,4.32,Penguin Books,Paperback,752,1993,1975,2024/10/09,2014/12/30,,,read,,,,2,0
254501,Consciousness: An Introduction,Susan Blackmore,"Blackmore, Susan",,"=""019515343X""","=""9780195153439""",3,3.88,Oxford University Press,Paperback,480,2003,2003,,2014/12/31,,,read,,,,1,0
641841,Struwwelpeter,Heinrich Hoffmann,"Hoffmann, Heinrich",,"=""0486284697""","=""9780486284699""",5,3.80,Dover Publications,Paperback,32,1995,1845,,2014/12/31,,,read,,,,1,0
19429985,I Can See In The Dark: A Gripping Nordic Noir Crime Thriller About Guilt and Being Accused of the Wrong Crime,Karin Fossum,"Fossum, Karin",,"=""0544114361""","=""9780544114364""",0,3.41,HarperVia,Kindle Edition,258,2014,2011,2018/08/11,2018/05/15,,,read,,,,1,0
8206709,"Bind, Torture, Kill: The Inside Story of the Serial Killer Next Door",Roy Wenzl,"Wenzl, Roy","Tim Potter, Hurst Laviana, L. Kelly","=""""","=""""",4,4.05,HarperCollins e-books,Kindle Edition,356,2009,2007,2019/06/02,2019/02/19,,,read,,,,1,0
20071806,Audition: A Novel,Ryū Murakami,"Murakami, Ryū",Ralph McCarthy,"=""""","=""""",5,3.53,W. W. Norton & Company,Kindle Edition,193,2010,1997,2018/08/11,2018/03/13,,,read,,,,1,0
35714058,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,"McNamara, Michelle",Gillian Flynn,"=""""","=""""",4,4.11,Harper,Kindle Edition,340,2018,2018,2018/08/11,2018/04/08,,,read,,,,1,0
18877989,People Who Eat Darkness: The True Story of a Young Woman Who Vanished from the Streets of Tokyo—and the Evil That Swallowed Her Up,Richard Lloyd Parry,"Parry, Richard Lloyd",,"=""1466820020""","=""9781466820029""",4,3.79,FSG Originals,Kindle Edition,465,2012,2010,2018/08/11,2018/06/02,,,read,,,,1,0
24720036,Slade House,David  Mitchell,"Mitchell, David",,"=""""","=""""",5,3.81,Random House,ebook,241,2015,2015,2016/11/03,2016/11/03,,,read,,,,1,0
24399756,Ghettoside: A True Story of Murder in America,Jill Leovy,"Leovy, Jill",,"=""""","=""""",5,4.07,Spiegel & Grau,ebook,386,2015,2015,2016/09/06,2016/06/22,,,read,,,,1,0
8257329,The Power of the Dog,Don Winslow,"Winslow, Don",,"=""""","=""""",5,4.37,,Kindle Edition,542,,2005,2015/12/28,2015/10/09,,,read,,,,1,0
